"species","tree","campaign","date","depthpos","xylemrad","depth","reldepth","flux","WD","height","ASI"
"Hymenaea courbaril","H_BS2_01_03",1,"2015-10-04","H_BS2_01_03:8",28.01,7.5,0.267761513745091,0.741527300691694,0.6855,19.725,2.2143020552001
"Hymenaea courbaril","H_BS2_01_03",1,"2015-10-05","H_BS2_01_03:8",28.01,7.5,0.267761513745091,0.867008687193083,0.6855,19.725,2.2143020552001
"Hymenaea courbaril","H_BS2_01_03",1,"2015-10-06","H_BS2_01_03:8",28.01,7.5,0.267761513745091,0.905584332163917,0.6855,19.725,2.2143020552001
"Hymenaea courbaril","H_BS2_01_03",1,"2015-10-07","H_BS2_01_03:8",28.01,7.5,0.267761513745091,0.885351839520167,0.6855,19.725,2.2143020552001
"Hymenaea courbaril","H_BS2_01_03",1,"2015-10-08","H_BS2_01_03:8",28.01,7.5,0.267761513745091,0.850464649359056,0.6855,19.725,2.2143020552001
"Cordia panamensis","H_BS2_01_20",1,"2015-10-05","H_BS2_01_20:8",14.775,7.5,0.50761421319797,2.49401702740278,0.4274,14.6353325074698,5.40030709241165
"Cordia panamensis","H_BS2_01_20",1,"2015-10-06","H_BS2_01_20:8",14.775,7.5,0.50761421319797,2.6958210835625,0.4274,14.6353325074698,5.40030709241165
"Cordia panamensis","H_BS2_01_20",1,"2015-10-07","H_BS2_01_20:8",14.775,7.5,0.50761421319797,2.696459197125,0.4274,14.6353325074698,5.40030709241165
"Cordia panamensis","H_BS2_01_20",1,"2015-10-08","H_BS2_01_20:8",14.775,7.5,0.50761421319797,2.72960459150694,0.4274,14.6353325074698,5.40030709241165
"Cordia panamensis","H_BS2_01_21",1,"2015-10-05","H_BS2_01_21:8",7.86,7.5,0.954198473282443,2.3612523703125,0.4277,12.0604936329802,2.55268381439124
"Cordia panamensis","H_BS2_01_21",1,"2015-10-06","H_BS2_01_21:8",7.86,7.5,0.954198473282443,2.52093869286806,0.4277,12.0604936329802,2.55268381439124
"Cordia panamensis","H_BS2_01_21",1,"2015-10-07","H_BS2_01_21:8",7.86,7.5,0.954198473282443,2.52852738267361,0.4277,12.0604936329802,2.55268381439124
"Cordia panamensis","H_BS2_01_21",1,"2015-10-08","H_BS2_01_21:8",7.86,7.5,0.954198473282443,2.53729968353472,0.4277,12.0604936329802,2.55268381439124
"Cordia panamensis","H_BS2_02_01",3,"2015-10-30","H_BS2_02_01:8",7.75,7.5,0.967741935483871,0.0519745037120138,0.3944,10.0320581573333,0.891429522428738
"Cordia panamensis","H_BS2_02_01",3,"2015-10-31","H_BS2_02_01:8",7.75,7.5,0.967741935483871,0.0156749791992361,0.3944,10.0320581573333,0.891429522428738
